txn_id,timestamp,source_account,destination_account,amount,source_country,destination_country,sar_linked
T00001,2026-01-01T09:00:00,A1001,A1002,19619,GB,AE,0
T00002,2026-01-01T09:07:00,A1002,A1003,17102,GB,TR,0
T00003,2026-01-01T09:14:00,A1003,A1004,18003,GB,NG,0
T00004,2026-01-01T09:21:00,A1004,A1001,17571,GB,AE,0
T00005,2026-01-01T09:40:00,A1001,A1003,15638.89,GB,GB,0
T00006,2026-01-01T09:43:00,A1002,A1001,16719.35,GB,CY,0
T00007,2026-01-01T09:46:00,A1002,A1003,18591.0,TR,AE,0
T00008,2026-01-01T09:49:00,A1004,A1003,13777.57,GB,AE,0
T00009,2026-01-01T09:52:00,A1004,A1002,13773.43,AE,NG,0
T00010,2026-01-01T09:55:00,A1001,A1004,15095.06,NG,NG,0
T00011,2026-01-01T09:58:00,A1003,A1001,19625.03,GB,TR,0
T00012,2026-01-01T10:01:00,A1001,A1003,13971.66,NG,CY,0
T00013,2026-01-02T09:00:00,A2001,A2002,21787,GB,AE,0
T00014,2026-01-02T09:07:00,A2002,A2003,21187,GB,NG,0
T00015,2026-01-02T09:14:00,A2003,A2004,22185,GB,AE,0
T00016,2026-01-02T09:21:00,A2004,A2005,21953,GB,AE,0
T00017,2026-01-02T09:28:00,A2005,A2001,22556,GB,TR,0
T00018,2026-01-02T09:40:00,A2004,A2003,14936.8,NG,AE,0
T00019,2026-01-02T09:43:00,A2003,A2001,21968.81,AE,CY,0
T00020,2026-01-02T09:46:00,A2002,A2005,19655.6,NG,CY,0
T00021,2026-01-02T09:49:00,A2002,A2003,25649.92,GB,AE,0
T00022,2026-01-02T09:52:00,A2001,A2003,18693.35,GB,AE,0
T00023,2026-01-02T09:55:00,A2005,A2003,15723.87,TR,TR,0
T00024,2026-01-02T09:58:00,A2004,A2002,16546.86,AE,CY,0
T00025,2026-01-02T10:01:00,A2005,A2003,24140.47,TR,CY,0
T00026,2026-01-02T10:04:00,A2004,A2003,15829.3,AE,CY,0
T00027,2026-01-02T10:07:00,A2004,A2001,24278.57,GB,AE,0
T00028,2026-01-03T09:00:00,A3001,A3002,28570,GB,NG,0
T00029,2026-01-03T09:07:00,A3002,A3003,28787,GB,CY,0
T00030,2026-01-03T09:14:00,A3003,A3001,28442,GB,AE,0
T00031,2026-01-03T09:40:00,A3002,A3003,26595.85,TR,CY,0
T00032,2026-01-03T09:43:00,A3002,A3001,28220.46,GB,CY,0
T00033,2026-01-03T09:46:00,A3002,A3003,17272.38,TR,AE,0
T00034,2026-01-03T09:49:00,A3002,A3001,33485.96,NG,CY,0
T00035,2026-01-03T09:52:00,A3001,A3003,31882.48,NG,CY,0
T00036,2026-01-03T09:55:00,A3003,A3001,18067.16,AE,CY,0
T00037,2026-01-04T09:00:00,A4001,A4002,31672,GB,AE,1
T00038,2026-01-04T09:07:00,A4002,A4003,31953,GB,TR,1
T00039,2026-01-04T09:14:00,A4003,A4004,31501,GB,AE,1
T00040,2026-01-04T09:21:00,A4004,A4001,29958,GB,TR,1
T00041,2026-01-04T09:40:00,A4003,A4001,18306.98,GB,GB,0
T00042,2026-01-04T09:43:00,A4004,A4001,38272.26,AE,AE,0
T00043,2026-01-04T09:46:00,A4004,A4003,20633.26,TR,AE,0
T00044,2026-01-04T09:49:00,A4002,A4003,23814.24,NG,TR,0
T00045,2026-01-04T09:52:00,A4004,A4001,22429.55,GB,NG,0
T00046,2026-01-04T09:55:00,A4001,A4003,29070.1,AE,GB,0
T00047,2026-01-04T09:58:00,A4001,A4003,30744.93,AE,GB,0
T00048,2026-01-04T10:01:00,A4001,A4002,18587.6,AE,NG,0
T00049,2026-01-05T09:00:00,A5001,A5002,43240,GB,CY,1
T00050,2026-01-05T09:07:00,A5002,A5003,41377,GB,NG,1
T00051,2026-01-05T09:14:00,A5003,A5004,43462,GB,CY,1
T00052,2026-01-05T09:21:00,A5004,A5005,41495,GB,CY,1
T00053,2026-01-05T09:28:00,A5005,A5001,42167,GB,NG,1
T00054,2026-01-05T09:40:00,A5001,A5005,42474.09,NG,TR,1
T00055,2026-01-05T09:43:00,A5004,A5005,48496.8,GB,GB,0
T00056,2026-01-05T09:46:00,A5001,A5004,44509.48,GB,AE,1
T00057,2026-01-05T09:49:00,A5002,A5005,38866.8,AE,TR,0
T00058,2026-01-05T09:52:00,A5002,A5003,36701.27,GB,TR,1
T00059,2026-01-05T09:55:00,A5005,A5001,24587.3,GB,GB,0
T00060,2026-01-05T09:58:00,A5002,A5005,35048.57,TR,AE,1
T00061,2026-01-05T10:01:00,A5004,A5001,27940.33,GB,TR,0
T00062,2026-01-05T10:04:00,A5003,A5004,31486.33,TR,AE,1
T00063,2026-01-05T10:07:00,A5002,A5003,29500.41,GB,CY,0
T00064,2026-01-06T09:00:00,A6001,A6002,52720,GB,AE,1
T00065,2026-01-06T09:07:00,A6002,A6003,51784,GB,AE,1
T00066,2026-01-06T09:14:00,A6003,A6001,50705,GB,CY,1
T00067,2026-01-06T09:40:00,A6003,A6001,30670.42,GB,AE,1
T00068,2026-01-06T09:43:00,A6001,A6003,53177.74,AE,TR,0
T00069,2026-01-06T09:46:00,A6001,A6003,49672.65,GB,CY,1
T00070,2026-01-06T09:49:00,A6001,A6002,52528.38,NG,NG,0
T00071,2026-01-06T09:52:00,A6001,A6002,37288.17,TR,AE,1
T00072,2026-01-06T09:55:00,A6003,A6002,45242.97,GB,GB,0
T00073,2026-01-07T09:00:00,A7001,A7002,61377,GB,AE,1
T00074,2026-01-07T09:07:00,A7002,A7003,59800,GB,NG,1
T00075,2026-01-07T09:14:00,A7003,A7004,61572,GB,TR,1
T00076,2026-01-07T09:21:00,A7004,A7001,60042,GB,TR,1
T00077,2026-01-07T09:40:00,A7001,A7004,49328.81,AE,TR,1
T00078,2026-01-07T09:43:00,A7003,A7004,75560.54,GB,CY,0
T00079,2026-01-07T09:46:00,A7003,A7004,37973.14,AE,NG,1
T00080,2026-01-07T09:49:00,A7001,A7004,65251.19,AE,NG,0
T00081,2026-01-07T09:52:00,A7003,A7004,42543.89,NG,AE,1
T00082,2026-01-07T09:55:00,A7003,A7004,54410.31,GB,GB,0
T00083,2026-01-07T09:58:00,A7004,A7002,35432.5,NG,AE,1
T00084,2026-01-07T10:01:00,A7003,A7001,65200.56,TR,CY,0
T00085,2026-01-08T09:00:00,A8001,A8002,72039,GB,AE,1
T00086,2026-01-08T09:07:00,A8002,A8003,72308,GB,NG,1
T00087,2026-01-08T09:14:00,A8003,A8004,74234,GB,AE,1
T00088,2026-01-08T09:21:00,A8004,A8005,73512,GB,NG,1
T00089,2026-01-08T09:28:00,A8005,A8001,73760,GB,NG,1
T00090,2026-01-08T09:40:00,A8001,A8003,59186.32,GB,NG,1
T00091,2026-01-08T09:43:00,A8002,A8005,74738.72,NG,CY,0
T00092,2026-01-08T09:46:00,A8004,A8002,88055.55,AE,AE,1
T00093,2026-01-08T09:49:00,A8002,A8004,41700.26,NG,TR,0
T00094,2026-01-08T09:52:00,A8002,A8003,48615.73,GB,TR,1
T00095,2026-01-08T09:55:00,A8001,A8004,51869.21,TR,NG,0
T00096,2026-01-08T09:58:00,A8003,A8002,51894.42,AE,TR,1
T00097,2026-01-08T10:01:00,A8003,A8005,84895.96,NG,NG,0
T00098,2026-01-08T10:04:00,A8005,A8004,75386.21,NG,GB,1
T00099,2026-01-08T10:07:00,A8001,A8003,49612.31,NG,GB,0
T00100,2026-01-21T09:00:00,B0001,B0002,602.31,GB,GB,0
T00101,2026-01-21T17:00:00,B0002,B0003,1662.33,GB,GB,0
T00102,2026-01-22T01:00:00,B0003,B0004,2617.77,GB,GB,0
T00103,2026-01-22T09:00:00,B0101,B0102,1269.45,GB,GB,0
T00104,2026-01-22T17:00:00,B0102,B0103,2220.18,GB,GB,0
T00105,2026-01-23T01:00:00,B0103,B0104,1912.12,GB,GB,0
T00106,2026-01-23T09:00:00,B0201,B0202,1501.89,GB,GB,0
T00107,2026-01-23T17:00:00,B0202,B0203,2123.91,GB,GB,0
T00108,2026-01-24T01:00:00,B0203,B0204,1077.85,GB,GB,0
T00109,2026-01-24T09:00:00,B0301,B0302,2553.55,GB,GB,0
T00110,2026-01-24T17:00:00,B0302,B0303,255.5,GB,GB,0
T00111,2026-01-25T01:00:00,B0303,B0304,3258.12,GB,GB,0
T00112,2026-01-25T09:00:00,B0401,B0402,1999.97,GB,GB,0
T00113,2026-01-25T17:00:00,B0402,B0403,2588.15,GB,GB,0
T00114,2026-01-26T01:00:00,B0403,B0404,2661.34,GB,GB,0
T00115,2026-01-26T09:00:00,B0501,B0502,2429.54,GB,GB,0
T00116,2026-01-26T17:00:00,B0502,B0503,1433.72,GB,GB,0
T00117,2026-01-27T01:00:00,B0503,B0504,477.41,GB,GB,0
T00118,2026-01-27T09:00:00,B0601,B0602,2408.77,GB,GB,0
T00119,2026-01-27T17:00:00,B0602,B0603,1323.15,GB,GB,0
T00120,2026-01-28T01:00:00,B0603,B0604,1270.23,GB,GB,0
T00121,2026-01-28T09:00:00,B0701,B0702,3006.05,GB,GB,0
T00122,2026-01-28T17:00:00,B0702,B0703,2589.2,GB,GB,0
T00123,2026-01-29T01:00:00,B0703,B0704,1226.05,GB,GB,0
T00124,2026-01-29T09:00:00,B0801,B0802,1255.18,GB,GB,0
T00125,2026-01-29T17:00:00,B0802,B0803,1577.28,GB,GB,0
T00126,2026-01-30T01:00:00,B0803,B0804,1557.8,GB,GB,0
T00127,2026-01-30T09:00:00,B0901,B0902,1210.88,GB,GB,0
T00128,2026-01-30T17:00:00,B0902,B0903,663.69,GB,GB,0
T00129,2026-01-31T01:00:00,B0903,B0904,1616.45,GB,GB,0
T00130,2026-01-31T09:00:00,B1001,B1002,3306.18,GB,GB,0
T00131,2026-01-31T17:00:00,B1002,B1003,2451.28,GB,GB,0
T00132,2026-02-01T01:00:00,B1003,B1004,3184.12,GB,GB,0
T00133,2026-02-01T09:00:00,B1101,B1102,2250.42,GB,GB,0
T00134,2026-02-01T17:00:00,B1102,B1103,1228.09,GB,GB,0
T00135,2026-02-02T01:00:00,B1103,B1104,2030.8,GB,GB,0
