txn_id,timestamp,source_account,destination_account,amount,source_country,destination_country,sar_linked
T1-001,2026-01-05T09:00:00,N001,N002,4500,GB,GB,0
T1-002,2026-01-05T14:00:00,N002,N003,3200,GB,GB,0
T1-003,2026-01-06T10:00:00,N003,N004,5100,GB,GB,0
T1-004,2026-01-06T15:30:00,N001,N003,3800,GB,GB,0
T1-005,2026-01-07T11:00:00,N004,N005,4200,GB,GB,0
T1-006,2026-01-08T09:30:00,N002,N004,5500,GB,GB,0
T1-007,2026-01-08T16:00:00,N005,N001,3600,GB,GB,0
T1-008,2026-01-09T10:00:00,N003,N002,4700,GB,GB,0
T1-009,2026-01-10T11:30:00,N001,N005,4100,GB,GB,0
T1-010,2026-01-11T14:00:00,N004,N002,3900,GB,GB,0
T2-001,2026-01-12T09:00:00,N001,X001,25000,GB,GB,0
T2-002,2026-01-12T09:15:00,X001,X002,24800,GB,GB,0
T2-003,2026-01-12T09:30:00,X002,X003,24500,GB,GB,1
T2-004,2026-01-13T10:00:00,N002,X001,32000,GB,GB,0
T2-005,2026-01-13T10:30:00,X001,X002,31500,GB,GB,0
T2-006,2026-01-13T11:00:00,X002,X003,31000,GB,GB,1
T2-007,2026-01-14T09:00:00,N003,X001,28000,GB,GB,0
T2-008,2026-01-14T09:30:00,X001,X003,27500,GB,GB,1
T2-009,2026-01-15T10:00:00,N004,X002,35000,GB,GB,0
T2-010,2026-01-15T11:00:00,X002,X003,34500,GB,GB,1
T2-011,2026-01-16T09:00:00,N005,X001,29000,GB,GB,0
T2-012,2026-01-16T10:00:00,X001,X003,28500,GB,GB,1
T2-013,2026-01-17T11:30:00,N001,X002,38000,GB,GB,0
T2-014,2026-01-17T12:00:00,X002,X003,37500,GB,GB,1
T2-015,2026-01-18T09:00:00,N002,X001,40000,GB,GB,0
T2-016,2026-01-18T09:30:00,X001,X003,39500,GB,GB,1
T3-001,2026-01-19T10:00:00,X003,EXT001,75000,GB,AE,1
T3-002,2026-01-20T11:00:00,X003,EXT002,68000,GB,RU,1
T3-003,2026-01-21T09:30:00,X003,EXT003,55000,GB,CY,1
T3-004,2026-01-22T14:00:00,X003,EXT001,48000,GB,AE,1
T3-005,2026-01-23T10:00:00,X003,EXT004,62000,GB,RU,1
T3-006,2026-01-24T11:30:00,X003,EXT005,45000,GB,CY,1
